brand_name,Total_Sales,rank_total_sales,brand_tag
King,109.89,1,1
Toretti,146.41,2,2
Symphony,236.8,3,3
Big City,244.94,4,4
Dual City,263.14,5,5
Footnote,290.73,6,6
Black Tie,301.81,7,7
Prelude,335.8,8,8
Toucan,371.14,9,9
Genteel,400.2,10,10
Akron,404.3,11,11
Queen,459.6,12,12
ADJ,471.96,13,13
Tip Top,473.33000000000004,14,14
Swell,474.34999999999997,15,15
Ship Shape,494.48,16,16
Curlew,500.76000000000005,17,17
Green Ribbon,521.23,18,18
Kiwi,546.9,19,19
Johnson,594.3,20,20
Jardon,602.38,21,21
James Bay,624.88,22,22
Gerolli,636.68,23,23
Applause,660.22,24,24
Quick,664.77,25,25
Amigo,686.29,26,26
Framton,729.29,27,27
Radius,832.09,28,28
Jeffers,954.6899999999999,29,29
Excel,991.64,30,30
Robust,1073.44,31,31
Discover,1155.34,32,32
Choice,1158.78,33,33
Mighty Good,1200.92,34,34
Giant,1208.73,35,35
Jumbo,1225.61,36,36
National,1278.41,37,37
Best,1279.33,38,38
Shady Lake,1287.05,39,39
Dollar,1292.63,40,40
Urban,1341.77,41,41
Blue Medal,1344.1,42,42
Monarch,1368.79,43,43
Special,1389.15,44,44
Colossal,1514.85,45,45
Top Measure,1594.56,46,46
Pearl,1641.18,47,47
Gauss,1648.9,48,48
Atomic,1716.4,49,49
Medalist,1861.6499999999999,50,50
Sphinx,1894.06,51,51
Token,1911.31,52,52
Colony,2080.39,53,53
Walrus,2142.86,54,54
Good,2211.3,55,55
Modell,2254.73,56,56
Thresher,2261.68,57,57
Musial,2366.04,58,58
Washington,2375.59,59,59
Fantastic,2440.4,60,60
Portsmouth,2506.71,61,61
Gulf Coast,2639.07,62,62
Skinner,2659.62,63,63
Cutting Edge,3059.62,64,64
Excellent,3073.82,65,65
Fabulous,3126.83,66,66
Great,3143.4700000000003,67,67
Lake,3594.75,68,68
American,3711.2,69,69
Moms,3757.21,70,70
Steady,3930.58,71,71
Red Spade,3945.54,72,72
Consolidated,4507.86,73,73
Bird Call,4616.23,74,74
Booker,4691.01,75,75
Faux Products,4738.2,76,76
Better,4883.3,77,77
Gorilla,5013.65,78,78
Club,5126.38,79,79
Even Better,5143.39,80,80
Just Right,5220.64,81,81
Blue Label,5338.86,82,82
Pleasant,5537.61,83,83
Landslide,5669.23,84,84
Carlson,5730.9,85,85
Hilltop,6067.76,86,86
Bravo,6105.43,87,87
CDR,6447.33,88,88
Plato,6461.37,89,89
PigTail,6630.6,90,90
BBB Best,6905.18,91,91
Super,7087.49,92,92
Golden,7614.87,93,93
Imagine,7728.29,94,94
Sunset,7734.42,95,95
Carrington,8184.54,96,96
Cormorant,8292.88,97,97
Red Wing,8581.62,98,98
Fort West,8813.54,99,99
Big Time,8896.81,100,100
Denny,8933.98,101,101
High Quality,9036.66,102,102
Fast,9178.11,103,103
Best Choice,9369.96,104,104
Horatio,10133.52,105,105
Nationeel,10231.83,106,106
High Top,10408.710000000001,107,107
Tri-State,10665.58,108,108
Ebony,11130.460000000001,109,109
Tell Tale,11540.2,110,110
Hermanos,13169.63,111,111
