promotion_name,Mean,Variance,Obs,Min,Max
Free For All,105.87705120296114,1475.9505657436716,1621,52.06,148.87
Pick Your Savings,101.71881278538812,1453.8531439603385,876,56.49,147.17
Coupon Spectacular,97.34064676616916,1315.9358803786554,402,51.47,145.31
Super Savers,114.03973056994818,1215.9786057334863,1930,64.76,144.54
Big Time Savings,106.3830067114094,1209.1832568077498,745,53.45,135.8
Bye Bye Baby,103.6770709382151,1195.6812042400936,874,58.16,141.39
Price Destroyers,111.70099708879185,1145.9252197625565,1374,58.27,148.62
Sales Galore,121.20583333333333,1013.7994046724468,1212,62.4,149.08
Double Down Sale,80.37331054131054,941.3635497524247,1755,50.79,142.71
Tip Top Savings,96.93583526682134,938.2036749693475,862,54.9,142.58
Weekend Markdown,92.35956652360515,937.8424440799449,2330,53.23,140.57
Big Time Discounts,94.6036081081081,934.1825139504404,1480,59.4,146.41
Best Savings,78.14690092165898,919.6775565899414,868,53.29,146.32
Mystery Sale,106.26681017612523,913.901423726641,511,68.84,137.47
Big Promo,88.19387372013652,893.4697547509058,1172,51.12,123.88
One Day Sale,110.61786218122626,837.3738689343086,1843,68.91,146.72
Unbeatable Price Savers,103.97695973705835,825.6179154202533,1217,66.78,137.77
Green Light Days,104.73071092831961,723.8921656906389,1702,66.27,139.19
Save-It Sale,90.26774112943528,714.007284594952,2001,52.42,144.38
Super Duper Savers,86.45483887210473,679.149181359415,1986,51.0,129.5
Savings Galore,119.47582942830364,671.586450226038,1067,61.65,138.53
Price Cutters,121.38671519563239,660.6455126064257,1099,62.09,145.52
You Save Days,114.7344,649.8764004543755,1075,51.27,131.81
Cash Register Lottery,74.73412861736335,626.2995685291351,1555,55.59,123.61
Bag Stuffers,106.62700750469043,613.9548388299912,1066,70.32,126.62
Price Savers,90.58957876261518,588.5662649673461,2279,54.36,128.2
Dollar Cutters,120.88662895927602,583.6002356463757,1326,66.18,144.18
I Cant Believe It Sale,83.36449588477366,497.67760664570824,972,52.77,132.6
Sales Days,113.68106594399278,480.90933086996927,1107,62.71,142.09
Price Smashers,112.11730512249443,454.8976679446388,449,95.45,145.24
Two Day Sale,99.74909521757863,430.0892654741184,2321,73.27,149.75
Go For It,94.45554898093359,409.6775523464473,1521,66.37,137.17
Saving Days,92.68889874353289,408.20793110882244,1353,67.11,118.36
Two for One,73.48419959812459,404.10038389311,1493,57.52,123.63
Money Savers,73.72079919408999,399.55062604096685,1489,53.01,119.55
Sale Winners,113.91082417582416,383.73032726278115,910,99.38,147.35
Price Winners,101.90893738140417,349.37049863300217,2108,69.24,147.18
Green Light Special,114.93475409836066,343.07940152389745,427,97.13,147.17
Wallet Savers,71.93983552631579,340.5007320981092,608,53.13,139.36
Shelf Emptiers,129.37533166458073,329.9780978535199,799,101.75,147.82
Super Wallet Savers,128.60275064267353,306.64166586807283,389,69.15,140.19
Shelf Clearing Days,92.05263313609467,304.794189332471,1690,51.16,109.21
High Roller Savings,95.75298104537622,240.44577518872094,1741,68.15,121.93
Price Slashers,69.19228293867639,209.13583002196248,1647,52.97,100.44
Dimes Off,109.47326086956522,153.25949666818053,1150,84.97,131.58
Double Your Savings,102.3811570247934,128.4773729295976,242,94.43,122.16
Fantastic Discounts,134.3372857142857,36.89055766917299,210,120.09,137.46
Three for One,124.15529750479847,35.83104165011868,1042,109.09,136.43
Dollar Days,139.82774436090224,3.2754118516630335,532,138.81,143.04
